row,product_details,asin,url,color_group,color,dimension,depth_in,width_in,height_in,girth_in
33,"Round End Table Wood Round Side Table for Small Spaces,Vintage Outdoor Farmhouse End Table For Living Room, Balcony, Countyard, Sofa, Bedroom, Industrial Narrow Coffee Table in Black and Brown",B09V7NYBLS,https://www.amazon.com/dp/B09V7NYBLS?psc=1,brown/black,brown/black,"17.7""D x 17.7""W x 24.8""H",17.7,17.7,24.8,60.2
34,"Walker Edison Cora Modern Faux Marble Round Accent Table with X Base, 16 Inch, Marble and Gold",B0718Z3G9D,https://www.amazon.com/dp/B0718Z3G9D?psc=1,white/gold,white/gold,"16""D x 16""W x 24.25""H",16,16,24.25,56.25
35,"Gold Console Table, Glass Sofa Tables, Modern Open Hallway Table, Narrow Entryway Table, Slim Accent Porch Table, Couch Side Table with Golden Metal Frame, Easy Assembly, Minimalist Style (Glass Top)",B08R7LHY5L,https://www.amazon.com/dp/B08R7LHY5L?psc=1,clear/gold,clear/gold,"42""D x 11""W x 30""H",42,11,30,83
36,"Goroly Home Hand Crafted Solid Wood Accent Table, Side Table, Entryway Table, Wooden End Table, Octagonal Wooden Table - 12 Inch Round Top x 12 Inch High - White Wash",B0BLNTX829,https://www.amazon.com/dp/B0BLNTX829?psc=1,brown,natural wood,"12""D x 12""W x 12""H",12,12,12,36
37,"danpinera 2-Tier End Table, Outdoor Side Table Metal Round Side Table with Removable Tray, Small Folding Accent Table, Anti-Rust Nightstand for Bedroom Balcony Patio Living Room (Gold)",B094FFGB2P,https://www.amazon.com/dp/B094FFGB2P?psc=1,gold,gold,"17.1""D x 17.1""W x 21.2""H",17.1,17.1,21.2,55.4
38,"WOODYNLUX End Table Nightstands Set of 2, 3-Tier Bedside Tables, 5-Tier Shelf Bookcase, Nightstand Accent Table for Couch, Living Room, Bedroom, Rustic Brown and Black, Easy Assembly.",B0BMLQPHDB,https://www.amazon.com/dp/B0BMLQPHDB?psc=1,brown/black,rustic brown/black,"11.8""D x 15.8""W x 23.6""H",11.8,15.8,23.6,51.2
39,"HOMSHO 2-Tier Side Table, End Tables with Tempered Glass, Nightstands with Storage Shelves, Slim Sofa Table for Living Room, Bedroom (1, Golden)",B0BY1N8XM7,https://www.amazon.com/dp/B0BY1N8XM7?psc=1,clear/gold,clear/gold,"11""D x 15""W x 21.7""H",11,15,21.7,47.7
40,"Décor Therapy, Walnut Decor Therapy Three drawer accent table, (FR1458), 11.8 in x 15.75 in x 26",B00BX5059W,https://www.amazon.com/dp/B00BX5059W?psc=1,brown,brown,"11.8""D x 15.75""W x 26""H",11.8,15.75,26,53.55
41,"Yoobure C Shaped End Table, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table",B0BTBWGJX7,https://www.amazon.com/dp/B0BTBWGJX7?psc=1,brown/black,brown/black,"15.7""D x 10.2""W x 23""H",15.7,10.2,23,48.9
42,"FURINNO Oval End Table, One, Walnut",B01FX5CM8O,https://www.amazon.com/dp/B01FX5CM8O?psc=1,black,black,"15.5""D x 18.9""W x 19.3""H",15.5,18.9,19.3,53.7
43,"AWASEN Side Table, Small End Accent Table for Living Room Bedroom Office Small Spaces, Modern White Side Table Nightstand with Solid Wood, Easy Assembly, (White)",B0BYMWHZJC,https://www.amazon.com/dp/B0BYMWHZJC?psc=1,white,white,"11.8""D x 15.8""W x 16.5""H",11.8,15.8,16.5,44.1
44,"Best Choice Products 16in Faux Marble Accent Table, Modern End Table, Small Coffee Table Home Decor for Living Room, Dining Room, Tea, Coffee w/Metal Frame, Foot Caps, Designer - White/Chrome",B08TRWHPPN,https://www.amazon.com/dp/B08TRWHPPN?psc=1,white,white,"16""D x 16""W x 24.25""H",16,16,24.25,56.25
45,"COZAYH Rustic Farmhouse end Table with Storage Shelf, French Country Accent Side Table for Family, Dinning or Living Room, Small Spaces, Modern, Round, Vintage Grey Finish.",B09BD7FDSQ,https://www.amazon.com/dp/B09BD7FDSQ?psc=1,grey,grey,"24""D x 24""W x 23""H",24,24,23,71
46,OVICAR Tray End Table - Metal Side Table 2 Tier Nightstand Round Accent Coffee Table Sofa Side Table Waterproof Indoor Outdoor Snack Table Removable Tray Table for Living Room Bedroom Office Black,B093RQHPQB,https://www.amazon.com/dp/B093RQHPQB?psc=1,black,black,"17.7""D x 17.7""W x 21""H",17.7,17.7,21,56.4
47,"Furinno JAYA End Table, One, Walnut",B01K8JEF5I,https://www.amazon.com/dp/B01K8JEF5I?psc=1,black,black,"15.55""D x 18.89""W x 19.53""H",15.55,18.89,19.53,53.97
48,"APEXCHASER Metal Side Table, 3-Tier Modern Style End Table with Storage Shelf, Side Table for Small Spaces, Fashionable Coffee Table for Living Room, Bedroom,Pink",B0BX9QJTWK,https://www.amazon.com/dp/B0BX9QJTWK?psc=1,other,pink,"14.37""D x 11.02""W x 21.85""H",14.37,11.02,21.85,47.24
49,"Christopher Knight Home Manuel Light-Weight Concrete Accent Table, Natural, 12.5D x 12.5W x 17.75H in",B07F6BJR9V,https://www.amazon.com/dp/B07F6BJR9V?psc=1,brown,brown,"12.5""D x 12.5""W x 17.75""H",12.5,12.5,17.75,42.75
50,"Monarch Specialties , Hall Console, Accent Table, Dark Taupe, 47""L",B0143ZT6ZC,https://www.amazon.com/dp/B0143ZT6ZC?psc=1,brown,natural wood,"12""D x 47""W x 32""H",12,47,32,91
51,"Winsome Wood Nolan Occasional Table, Cappuccino 20.00 x 20.00 x 21.97 Inches",B0046EC0LS,https://www.amazon.com/dp/B0046EC0LS?psc=1,brown,brown,"20""D x 20""W x 22""H",20,20,22,62
52,"Best Choice Products Metal Accent Table, Set of 2 Decorative Round End Tables Nightstands, Coffee Side Tables for Living Room Bedroom Office, Nesting - Gold",B079LYB9Y5,https://www.amazon.com/dp/B079LYB9Y5?psc=1,gold,gold,"16.5""D x 16.5""W x 20.25""H",16.5,16.5,20.25,53.25
53,"HILINSIE Rattan Nightstand - Accent End Table with Storage Shelf and Drawer, Wooden Bedside Tables with Metal Frame, Modern Side Table for Bedroom, Living Room, Natural Walnut and Yellow",B0BWN6Y3YT,https://www.amazon.com/dp/B0BWN6Y3YT?psc=1,brown,natural wood,"11.8""D x 15.8""W x 23.6""H",11.8,15.8,23.6,51.2
54,"Decor Therapy Simplify Round Pedestal Accent Side Table, 24"" x 15"" x 15"", Turquoise",B00JSRCJM8,https://www.amazon.com/dp/B00JSRCJM8?psc=1,other,blue,"15""D x 15""W x 24""H",15,15,24,54
55,"Winsome Wood Sasha Accent Table, White, 20 inches",B004K3D3ZC,https://www.amazon.com/dp/B004K3D3ZC?psc=1,white,white,"18.74""D x 20""W x 27""H",18.74,20,27,65.74
56,E.P.C. Versatile 3 Tier Wooden White Twisted Design Accent Table,B089KRVXVG,https://www.amazon.com/dp/B089KRVXVG?psc=1,white,white,"8""D x 23""W x 11""H",8,11,23,42
57,"Hula Home End Table with Charging Station (USB-C, USB, & Outlet) Flip Top | for Living Room and Narrow Small Spaces, Storage Shelf, USB Ports & Power Outlets, Bedside Tables, Bedroom (Brown)",B09RWBBW47,https://www.amazon.com/dp/B09RWBBW47?psc=1,brown/black,brown/black,"16""D x 11""W x 23.5""H",16,11,23.5,50.5
58,"Etna Twist Side End Table Modern Accent Table Nightstand with Distressed Finish, Wood, 24"" High - Gray",B0949SV9XV,https://www.amazon.com/dp/B0949SV9XV?psc=1,grey,grey,"12""D x 12""W x 24""H",12,12,24,48
59,"MENYCNJ C Shaped Table for safa Small C Side Table for Living Room and Small Spaces- Easy Assembly, C Shaped Round End Table for Couch and Bed, Night Stand for Bedroom, Wood/Black",B0BZZTL5RS,https://www.amazon.com/dp/B0BZZTL5RS?psc=1,brown/black,brown/black,"3.94""D x 13""W x 24.41""H",10,13,24.41,47.41
60,"HOOBRO Narrow Side Table, Tempered Glass End Table with Fabric Magazine Sling, Small Coffee Accent Table, Bedside Table for Small Space, Bedroom, Living Room, Modern Style, Black BK66BZ01",B0BQQR8V6V,https://www.amazon.com/dp/B0BQQR8V6V?psc=1,black,black,"15.7""D x 9.4""W x 21.5""H",15.7,9.4,21.5,46.6
61,"ChooChoo Console Table with Outlets and USB Ports, Narrow Sofa Table, Chic Accent Table for Living Room, Entryway, Hallway, Foyer, White",B09VD4CHPX,https://www.amazon.com/dp/B09VD4CHPX?psc=1,white,white,"39.3""D x 11.8""W x 31.4""H",39.3,11.8,31.4,82.5
62,"SIMPLIHOME Boyd SOLID MANGO WOOD 13 inch Wide Round Contemporary Wooden Accent Table in Black, Fully Assembled, for the Living Room and Bedroom",B092W7QJ6F,https://www.amazon.com/dp/B092W7QJ6F?psc=1,black,black,"12.6""D x 13""W x 18.11""H",12.6,13,18.11,43.71
63,"HOOBRO End Table Set of 2 with Charging Station and USB Ports, 3-Tier Nightstands with Adjustable Shelf, Narrow Side Table for Small Space in Living Room, Bedroom and Balcony, Black BB112BZP201",B0BVHCVTFG,https://www.amazon.com/dp/B0BVHCVTFG?psc=1,black,black,"11""D x 15""W x 21.7""H",11,15,21.7,47.7
64,"GYCZYCX C Shaped End Table,Round C Table,Snack Side Table for Sofa and Bed, Living Room(Black), 15D x 15W x 23H in",B0B5LBZTD2,https://www.amazon.com/dp/B0B5LBZTD2?psc=1,black,black,"15""D x 15""W x 23""H",15,15,23,53
65,"LEMONDA 3 Legs Round End Table, 2 Tier Round Side Table with Storage Basket,11.8*17.8inches Round Metal Sofa Side Table,Small Round Nightstand,Small Coffee Table for Living Room Bedroom/Rustic Brown",B0BWRT9XP6,https://www.amazon.com/dp/B0BWRT9XP6?psc=1,brown/black,rustic brown/black,"11.8""D x 11.8""W x 17.8""H",11.8,11.8,17.8,41.4
66,Small End Tables for Small Spaces – Small Side Table Living Room – Industrial Small Nightstand Bedroom –Narrow End Table – Slim Skinny Bedside Table – Little Thin Accent Table Tiny Drink Table,B09ZKQ7RLM,https://www.amazon.com/dp/B09ZKQ7RLM?psc=1,brown/black,brown/black,"8""D x 16""W x 24""H",8,16,24,48
67,Linon Seaboard Accent Table with Navy Finish AC132NAVY01U,B0B52GMSVK,https://www.amazon.com/dp/B0B52GMSVK?psc=1,other,blue,"13""D x 24""W x 30.25""H",13,24,30.25,67.25
68,"Christopher Knight Home Darlah Small Firwood Antique Table, Antique, Antique Natural and Black With Blue, 10.25”D x 12.75”W x 19.50”H",B01N97MMUK,https://www.amazon.com/dp/B01N97MMUK?psc=1,other,blue,"10.25""D x 12.75""W x 19.5""H",10.25,12.75,19.5,42.5
69,"Convenience Concepts Oxford End Table with Shelves, Gray",B01LZFJ957,https://www.amazon.com/dp/B01LZFJ957?psc=1,grey,grey,"15.75""D x 15.75""W x 24""H",15.75,15.75,24,55.5
70,"Signature Design by Ashley Abbonto Traditional Accent Table with Drawers and Display Shelf, Brown",B075464R79,https://www.amazon.com/dp/B075464R79?psc=1,brown,brown,"13""D x 32.25""W x 29.25""H",13,32.25,29.25,74.5
71,"Garden 4 you Folding Tray Metal Side Table Black Round End Table Cyan Sofa Small Accent Fold-able Table, Round End Table Tray, Next to Sofa Table, Snack Table for Living Room and Bed Room",B09F98S67Q,https://www.amazon.com/dp/B09F98S67Q?psc=1,black,black,"18.5""D x 18.5""W x 19.4""H",18.5,18.5,19.4,56.4
72,"Round Side Table with White Marble Top, Small End Table for Living Room Bedroom, Modern Nightstand with Storage Shelf, Accent Table with Metal Frame, Black",B091CBVFYM,https://www.amazon.com/dp/B091CBVFYM?psc=1,white/black,white/black,"18""D x 18""W x 24""H",18,18,24,60
73,"VECELO Side/End Table, Folding Round Metal Anti-Rust and Waterproof Outdoor or Indoor Tray for Living Room Bedroom Balcony and Office, 2 PCS, Blue",B08V4F4KPN,https://www.amazon.com/dp/B08V4F4KPN?psc=1,other,blue,"18.5""D x 18.5""W x 19.7""H",18.5,18.5,19.7,56.7
74,"VECELO Modern Night Stand/Sofa Side/End Storage Shelf X-Design Versatile Nightstands Lamp Table Living Room Bedroom Furniture,Easy Assembly, Brown",B07KX7VVFC,https://www.amazon.com/dp/B07KX7VVFC?psc=1,brown/black,brown/black,"11.8""D x 15.7""W x 24.2""H",11.8,15.7,24.2,51.7
75,"HOOBRO Side Table, 3-Tier Narrow End Table, Sofa Bedside Table, with Accent Decorative Ladder Shelf, for Small Space in Living Room, Bedroom, Metal Frame, Rustic Brown and Black BF68BZ01",B0BQQTTBFB,https://www.amazon.com/dp/B0BQQTTBFB?psc=1,brown/black,rustic brown/black,25.6 x 13.1 x 4.1,11,22.8,25,58.8
76,"Walker Edison Industrial Farmhouse Square Side End Accent Table Living Room Small End Accent Table, 18 Inch, Grey",B07LFTQKW3,https://www.amazon.com/dp/B07LFTQKW3?psc=1,grey,grey,"18""D x 18""W x 23.88""H",18,18,23.88,59.88
77,"Decor Therapy Bailey Bead Board 1-Drawer Accent Table, Antique Navy",B07WPX6GS1,https://www.amazon.com/dp/B07WPX6GS1?psc=1,other,blue,"14""D x 17""W x 26.5""H",14,17,26.5,57.5
78,"ECOMEX Round End Table,Wood Side Table Accent Table, Small Coffee End Table Multipurpose Side Tables for Small Spaces Balcony Living Room Bedroom Office, White Desktop Black Legs",B0BS6FLZSF,https://www.amazon.com/dp/B0BS6FLZSF?psc=1,white/black,white/black,"16""D x 16""W x 18""H",16,16,18,50
79,"IDEALHOUSE 43 Inch Narrow Console Table, 2-Tier Wood Accent Sofa Table Furniture for Entryway, Living Room, Hallway, Easy Assembly (Grey, 43"" X 11.8"" X 30"")…",B097TJ5SZL,https://www.amazon.com/dp/B097TJ5SZL?psc=1,grey,grey,"11.8""D x 43""W x 30""H",11.8,43,30,84.8
80,"Small Round Side Table for Living Room, 2 Tiers Farmhouse End Tables Living Room Set Of 2, Accent Tables For Small Spaces，Night Stands for Bedrooms, Coffee Tables With Storage Shelf, Easy Assembly",B0BCJJS7K9,https://www.amazon.com/dp/B0BCJJS7K9?psc=1,black,black,"13""D x 13""W x 22""H",13,13,22,48
81,"Christopher Knight Home Apollos Indoor Lace Cut Iron Accent Table, Black",B0797N6HCZ,https://www.amazon.com/dp/B0797N6HCZ?psc=1,black,black,"12.25""D x 12.25""W x 18""H",12.25,12.25,18,42.5
82,"Monarch Specialties Dark Taupe Accent Table, 32""",B00QUE53CA,https://www.amazon.com/dp/B00QUE53CA?psc=1,grey,grey,"11.5""D x 12""W x 32""H",11.5,12,32,55.5
83,"AWASEN Side Table Round, Small Side Table Modern End Accent Table for Living Room Bedroom Office Small Spaces, 16''D x 19.5''H (Rustic Brown)",B0BXSL9HJV,https://www.amazon.com/dp/B0BXSL9HJV?psc=1,brown,rustic brown,"16""D x 16""W x 19.5""H",16,16,19.5,51.5
84,"Yoobure C Shaped End Table Set of 2, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table",B0BNBRRRLP,https://www.amazon.com/dp/B0BNBRRRLP?psc=1,grey,grey,"15.7""D x 10.2""W x 23""H",15.7,10.2,23,48.9
85,Rustic Old Elm Wood Round End Table with 3-Leg Metal Stand,B074DQ9S1F,https://www.amazon.com/dp/B074DQ9S1F?psc=1,brown/black,brown/black,"16""D x 16""W x 21""H",16,16,21,53
86,"Fixwal Side Table Small End Table Accent Table Living Room Bedroom Balcony Office, Modern White Side Table Bedside Table Home Decor No-Tool Assembly",B0BY1J4N7V,https://www.amazon.com/dp/B0BY1J4N7V?psc=1,white,white,"15.75""D x 16.5""W x 11.8""H",15.75,16.5,11.8,44.05
87,"Small Side Table, Wood Small End Table Accent Table for Living Room Bedroom Small Spaces, Modern Home Decor Night Stand Bedside Tables, Easy to Assemble, Black",B0BS96QKRS,https://www.amazon.com/dp/B0BS96QKRS?psc=1,black,black,"15.7""D x 11.8""W x 16.54""H",15.7,11.8,16.54,44.04
88,"Winsome Wood Sasha Accent Table, Black, 20.00 x 20.00 x 27.00 Inches",B000NPSGRG,https://www.amazon.com/dp/B000NPSGRG?psc=1,black,black,"20""D x 20""W x 26.97""H",20,20,26.97,66.97
89,"INK+IVY Blaze Accent Tables - Wood Side Table - Pecan, Mid-Century Modern Style End Tables - 1 Piece Small Tables For Living Room",B011BQSPVW,https://www.amazon.com/dp/B011BQSPVW?psc=1,brown,brown,"20""D x 21""W x 20.75""H",20,21,20.75,61.75
90,"Apicizon 16"" Round Side Table, Black End Table for Living Room, Bedside, Mid Century Modern Coffee Table or Circle Accent Table for Small Spaces, Metal Nightstand (Black)",B08RS4JCJH,https://www.amazon.com/dp/B08RS4JCJH?psc=1,black,black,"16""D x 16""W x 19.3""H",16,16,19.3,51.3
91,"ChooChoo Farmhouse End Table, Rustic Vintage Narrow End Side Table with Storage Shelf for Small Spaces, Nightstand Sofa Table for Living Room, Bedroom White",B09L82CQX7,https://www.amazon.com/dp/B09L82CQX7?psc=1,white,white,"23.6""D x 11.8""W x 23.6""H",23.6,11.8,23.6,59
92,Bamworld Rattan Side Table Boho Night Stand Glass Bedside Table Small End Tables Bamboo Side Tables Bedroom Coffee Table with Storage for Living Room and Outdoor Nature,B0BW352SCK,https://www.amazon.com/dp/B0BW352SCK?psc=1,brown,natural wood,"10""D x 5""W x 5""H",14,17,22,53
93,"Furinno 17017 Turn-N-Tube End Table, 1-Pack, Espresso",B075H7XP3D,https://www.amazon.com/dp/B075H7XP3D?psc=1,brown,espresso,"11.81""D x 15.79""W x 27.72""H",11.81,15.79,27.72,55.32
94,"Dulcii Small Round End Table for Narrow and Small Space, 3-Tier Round Accent Couch Beside Table, Modern Side Table Corner Sofa Table Nightstand for Living Room Bedroom",B09XF14L3T,https://www.amazon.com/dp/B09XF14L3T?psc=1,brown/black,rustic brown/black,"15""D x 15""W x 22""H",15,15,22,52
95,"Mirrored End Table with Glass Mirrored Coasters Modern Silver Accent Table Bling Mirror Side Table Crushed Crystal Coasters Crushed Diamond Cup Mat for Living Room Home Kitchen (Round, 3 Pcs)",B0BDS25Y9T,https://www.amazon.com/dp/B0BDS25Y9T?psc=1,silver,silver,"5.9""D x 4.9""W x 4.9""H",13,13,16,42
96,"COZAYH Farmhouse Nesting Barrel Side Table, Rustic Space Saving Storage End Table Set, Natural Distressed Finish",B09WQWT32C,https://www.amazon.com/dp/B09WQWT32C?psc=1,brown,brown,"40.13""D x 40.13""W x 57.91""H",15.8,15.8,22.8,54.4
97,"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, French Oak Grey/Black",B07FL6D1Z8,https://www.amazon.com/dp/B07FL6D1Z8?psc=1,grey,grey,"11.5""D x 13.39""W x 22.8""H",11.5,13.39,22.8,47.69
