"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"15","Best Choice Products Wooden Mid-Century Modern Coffee Table, Accent Furniture for Living Room, Indoor, Home Décor w/Open Storage Shelf, Wood Grain Finish - White/Brown","B08LHN8CL1","https://www.amazon.com/dp/B08LHN8CL1?psc=1","https://m.media-amazon.com/images/I/71OSGBbTjvL._AC_SX569_.jpg","Best Choice Products",69.99,912,63830.88,47564,"US",33.25,1,4.4,3092,7,32,"BestChoiceproducts","Home & Kitchen","Small Oversize","MFN","22.4x46.4x3.5","31.70",2020-08-19
"16","Sweetcrispy Coffee Table, Lift Top Coffee Tables for Living Room,Rising Tabletop Wood Dining Center Tables with Storage Shelf and Hidden Compartment","B0C5X64YMX","https://www.amazon.com/dp/B0C5X64YMX?psc=1","https://m.media-amazon.com/images/I/71tc5bm9a3L._AC_SY450_.jpg","Sweetcrispy",69.99,245,17147.55,16368,"AMZ",34.51,2,4.5,73,9,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x40.0x4.0","35.00",2023-05-22
"17","IKIFLY Modern High Glossy Black Coffee Table with 16 Colors LED Lights, Contemporary Rectangle Design Living Room Furniture, 2 Tiers","B0B1QF3QXT","https://www.amazon.com/dp/B0B1QF3QXT?psc=1","https://m.media-amazon.com/images/I/819BoGI9lBL._AC_SX466_.jpg","IKIFLY",199.99,374,74796.26,71693,"CN",NA,1,4,311,9,23,"Lithome store","Home & Kitchen",NA,"MFN",NA,NA,2022-05-19
"18","High Gloss Lift Top Table with Led Lights, Led Coffee Table with Storage Shelf and Hidden Compartment for Home Living Room Reception Room Office, White","B0BHZBB93P","https://www.amazon.com/dp/B0BHZBB93P?psc=1","https://m.media-amazon.com/images/I/81Ni72cxwkL._AC_SX466_.jpg","St.Mandyu",119.99,113,13558.87,176839,"CN",NA,1,3.1,26,8,6,"Anqinmh","Home & Kitchen",NA,"MFN",NA,NA,2022-10-12
"19","Ameriwood Home Carver Coffee Table, Gray","B01N0D7VC8","https://www.amazon.com/dp/B01N0D7VC8?psc=1","https://m.media-amazon.com/images/I/71lXEubxAbL._AC_SX466_.jpg","Ameriwood Home",87.66,NA,NA,3332,"AMZ",50.18,4,4.5,3310,15,0,"Amazon","Our Brands","Small Oversize","AMZ","14.0x8.5x40.3","65.76",2016-11-14
"20","ChooChoo Farmhouse Coffee Table, Rustic Vintage Living Room Table with Shelf, 40 White","B08SHCR143","https://www.amazon.com/dp/B08SHCR143?psc=1","https://m.media-amazon.com/images/I/8189SDyX4jS._AC_SY450_.jpg","ChooChoo",159.99,656,104953.44,41445,"CN",53.47,2,4.6,848,8,25,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","25.3x6.0x44.0","40.56",2021-01-08
"21","Depointer Life Glass Coffee Table, Rectangle Modern Side Coffee Table with Lower Shelf, Perfect for Living Room Conversation Leisure Occasions, Metal Leg, Black","B08CH9GN83","https://www.amazon.com/dp/B08CH9GN83?psc=1","https://m.media-amazon.com/images/I/81e9qp45SHL._AC_SX425_.jpg","Depointer Life",79.59,193,15360.87,225643,"CN",42.25,2,4.7,1392,7,3,"Depointer Direct","Home & Kitchen","Small Oversize","MFN","25.0x5.9x41.5","49.46",2020-07-07
"22","SUPER DEAL 2-Tier Industrial Coffee Table with Storage Shelf for Small Apartment Living Room, Rectangle Wood and Stable Metal TV Stand Side End Table, Rustic Brown","B08N4TDMF4","https://www.amazon.com/dp/B08N4TDMF4?psc=1","https://m.media-amazon.com/images/I/71CuUQLcDhL._AC_SX569_.jpg","SUPER DEAL",48.99,1176,57612.24,30687,"CN",58.47,1,4.6,922,7,47,"SuperDealUsa","Home & Kitchen","Medium Oversize","MFN","16.5x20.0x31.5","25.00",2020-11-09
"23","HOOBRO End Table with Charging Station and USB Ports, 3-Tier Nightstand with Adjustable Shelf, Narrow Side Table for Small Space in Living Room, Bedroom and Balcony, Rustic Brown BF112BZ01","B09X395CNV","https://www.amazon.com/dp/B09X395CNV?psc=1","https://m.media-amazon.com/images/I/71BlC+UiJ8L._AC_SY355_.jpg","HOOBRO",39.99,2157,86258.43,9518,"CN",15.41,4,4.4,365,9,62,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.3x4.1x17.1","9.66",2022-04-02
"24","Rectangle Modern Coffee Table, Tempered Glass Top and Metal Tubular Leg, 47.3”Lx23.6”Wx18.1”H, Silver","B0BLV6PK3D","https://www.amazon.com/dp/B0BLV6PK3D?psc=1","https://m.media-amazon.com/images/I/91ADrZpvMNL._AC_SX522_.jpg","Edwin's Choice",158.85,512,81331.2,56713,"CN",54.56,1,4.4,46,6,9,"Edwin's Choice","Home & Kitchen","Small Oversize","FBA","26.0x3.5x50.0","50.61",2022-11-09
"25","Best Choice Products 2-Tier 35.5in Round Industrial Coffee Table, Rustic Steel Accent Table for Living Room, w/Wooden Tabletop, Reinforced Crossbars, Padded Feet, Open Shelf, Raised Bottom - Gray","B0B5FL6Y2N","https://www.amazon.com/dp/B0B5FL6Y2N?psc=1","https://m.media-amazon.com/images/I/81pJCYptKML._AC_SY450_.jpg","Best Choice Products",99.99,420,41995.8,81924,"US",56.73,1,4.7,959,7,19,"BestChoiceproducts","Home & Kitchen","Medium Oversize","MFN","37.0x37.0x5.5","32.00",2021-10-08
"26","LIDYUK End Table with Charging Station, Flip Top Side Table with USB Ports and Outlets, Nightstand for Small Spaces, Bedside Tables with Storage Shelf for Living Room, Bedroom, Dark Cherry","B0C1ZB5XCV","https://www.amazon.com/dp/B0C1ZB5XCV?psc=1","https://m.media-amazon.com/images/I/71bPE4JebFL._AC_SX569_.jpg","LIDYUK",79.99,3050,243969.5,14315,"CN",23.81,1,4.5,1899,7,0,"LIDYUK","Home & Kitchen","Large Standard-Size","FBA","13.4x6.2x17.4","17.44",2023-04-10
"27","HOMMPA LED Coffee Tables for Living Room Modern Coffee Table with 4 Drawers High Glossy Center Table with Storage White Coffee Table Cocktail Table with 16 Colors LED Lighting White","B0B28RSC4K","https://www.amazon.com/dp/B0B28RSC4K?psc=1","https://m.media-amazon.com/images/I/71NA3hqs4yL._AC_SY450_.jpg","HOMMPA",199.98,34,6799.32,299209,"CN",NA,2,3.2,118,6,0,"Phycomn","Home & Kitchen",NA,"MFN","25.2x42.9x6.9",NA,2022-06-15
"28","Small Round Coffee Table Circle Modern White Coffee Tables for Living Room Center Table for Small Spaces 24 Inch Wood Accent Coffe Tables Mesa De Centro","B0BGMW8X6M","https://www.amazon.com/dp/B0BGMW8X6M?psc=1","https://m.media-amazon.com/images/I/61LzMnCmIoL._AC_SX466_.jpg","STELOD",49.42,322,15913.24,107925,"CN",16.98,1,4,173,5,11,"STELOD","Home & Kitchen","Large Standard-Size","FBA","13.2x4.6x17.8","10.25",NA
"29","WLIVE Round Coffee Table, Living Room Table with 2-Tier Storage Shelf,32in Wood Modern Coffee Table with Metal Frame and Wood Desktop,Easy Assembly,Charcoal Black.","B0B8N5HHG4","https://www.amazon.com/dp/B0B8N5HHG4?psc=1","https://m.media-amazon.com/images/I/815tU43E3GL._AC_SY450_.jpg","WLIVE",69.99,332,23236.68,71008,"CN",32.83,1,4.4,102,8,8,"WLIVE","Home & Kitchen","Small Oversize","FBA","18.2x4.0x35.0","30.96",2022-08-04
"30","Lifetime Home Lift Top Coffee Table with Hidden Compartment and Storage Shelf - Living Room Dining Table with Rising Tabletop Lifttop Desk for Apartment, Home, Condo - Rustic Brown","B0C4RML34X","https://www.amazon.com/dp/B0C4RML34X?psc=1","https://m.media-amazon.com/images/I/71mEGx2BjaL._AC_SY450_.jpg","Lifetime Home",63.95,NA,NA,160777,"US",47.46,2,NA,0,8,0,"Lifetime Appliance Parts","Home & Kitchen","Small Oversize","MFN","25.0x25.0x15.0","48.00",2023-05-09
"31","WOHOMO Coffee Table, 2 in 1 Unique Detachable Nesting Coffee Table Set of 2, Small Round and Rectangular Living Room Table Set, Industrial Modern Style Coffee Tables for Living Room, Rustic Brown","B0999LY3D4","https://www.amazon.com/dp/B0999LY3D4?psc=1","https://m.media-amazon.com/images/I/81rytBRS9GL._AC_SX679_.jpg","WOHOMO",105.99,370,39216.3,84169,"CN",40.75,3,4.5,743,7,39,"Wohomo","Home & Kitchen","Small Oversize","FBA","25.0x3.8x35.8","36.31",2021-07-13
"32","VASAGLE Small Coffee Table Set of 2, Round Coffee Table with Steel Frame, Side End Table for Living Room, Bedroom, Office, Rustic Brown and Black","B08JSXNVKR","https://www.amazon.com/dp/B08JSXNVKR?psc=1","https://m.media-amazon.com/images/I/715b4VhLIpL._AC_SX679_.jpg","VASAGLE",69.88,1034,72255.92,33731,NA,31.78,14,4.6,1687,9,46,NA,"Home & Kitchen","Small Oversize","FBA","21.7x5.2x22.9","17.82",2021-04-06
"33","Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black","B0989DQJ9L","https://www.amazon.com/dp/B0989DQJ9L?psc=1","https://m.media-amazon.com/images/I/814rUarzH8L._AC_SY450_.jpg","Tajsoon",59.99,2608,156453.92,14121,"CN",19.85,1,4.5,1195,7,77,"tajsoon","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x16.8","14.22",2021-06-30
"34","Yoobure C Shaped End Table Set of 2, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table","B0BZHHFTL4","https://www.amazon.com/dp/B0BZHHFTL4?psc=1","https://m.media-amazon.com/images/I/61P3S0qnKFL._AC_SX466_.jpg","Yoobure",45.04,761,34275.44,26076,"HK",22.79,1,4.6,313,6,8,"Super A Plus","Home & Kitchen","Small Oversize","FBA","17.5x5.1x17.9","15.44",2023-05-20
"35","IANIYA Glass Coffee Table Black Metal Tube Clear Glass Coffee Table (All-Black)","B0BVDQ477G","https://www.amazon.com/dp/B0BVDQ477G?psc=1","https://m.media-amazon.com/images/I/71v8s179kbL._AC_SX569_.jpg","IANIYA",119.99,521,62514.79,50769,"CN",48.73,2,4.6,1931,9,22,"IANIYA FURNITURE","Home & Kitchen","Small Oversize","FBA","26.5x5.0x42.3","50.11",2021-06-17
"36","Yoobure C Shaped End Table with Charging Station, Small Side Tables for Living Room, Bedroom, Sofa Table with USB Ports and Outlets for Small Spaces, C Couch Table Rustic Snack Table Bed Side Table","B0BD587DGS","https://www.amazon.com/dp/B0BD587DGS?psc=1","https://m.media-amazon.com/images/I/71LZk45zymL._AC_SX466_.jpg","Yoobure",47.99,2602,124869.98,10477,"CN",16.61,1,4.6,693,7,103,"Yoobure Direct","Home & Kitchen","Large Standard-Size","FBA","11.6x4.0x17.7","9.79",2022-11-21
"37","Yaheetech Console Table with Drawer, Narrow Entryway Table for Living Room with Storage Shelves, Industrial Wood Hallway Sofa Table with Metal Frame, Gray","B097RPHWFH","https://www.amazon.com/dp/B097RPHWFH?psc=1","https://m.media-amazon.com/images/I/81J-SLmfTLS._AC_SX569_.jpg","Yaheetech",88.99,1001,89078.99,34244,"US",43.24,1,4.6,2541,9,70,"Yaheetech","Home & Kitchen","Small Oversize","MFN","15.0x6.7x44.1","48.29",2021-06-24
"38","Rectangle Glass Coffee Table-Black Modern Side Coffee Table with Lower Shelf Wooden Legs Suit for Living Room, Dining Room, Office Glass Coffee Table with Storage Shelf for Coffee Tea Books Magazine","B0B7MNG9RZ","https://www.amazon.com/dp/B0B7MNG9RZ?psc=1","https://m.media-amazon.com/images/I/712A1F7StRL._AC_SX466_.jpg","HUBSE",69.99,242,16937.58,120050,"US",NA,1,4.1,256,7,9,"HUBESTSELLER","Home & Kitchen",NA,"MFN",NA,NA,2022-07-26
"39","Bestier LED Coffee Tables for Living Room, 42 Inch Wood Center Table with Glass Top for Game Night. Living Room Tables Rustic Brown","B09R94QL35","https://www.amazon.com/dp/B09R94QL35?psc=1","https://m.media-amazon.com/images/I/81aGh6tkOPL._AC_SX425_.jpg","Bestier",189.99,266,50537.34,165218,"US",57.66,2,4.4,164,9,17,"Bestier Direct","Home & Kitchen","Small Oversize","FBA","24.3x4.3x46.5","47.11",2022-01-27
"40","SAYGOER Glass Coffee Table, Small Modern Coffee Table Square Simple Center Tables for Living Room 26.7 x 26.7 x 15.7 Inches, Gray Black","B094NTR166","https://www.amazon.com/dp/B094NTR166?psc=1","https://m.media-amazon.com/images/I/91cTZVQORnL._AC_SX425_.jpg","SAYGOER",79.88,558,44573.04,46039,"CN",32.21,7,4.7,696,9,29,"SAYGOER DIRECT","Home & Kitchen","Small Oversize","FBA","29.2x2.5x34.7","25.85",2021-05-11
"41","Cozy Castle Modern Coffee Table, Wooden Console Table 2 Tier with Open Storage Shelf and 1 Drawer, Easy Assembly Minimalist Hallway Table, Mid Century Modern Coffee Table for Living Room Home Office","B0972W75N8","https://www.amazon.com/dp/B0972W75N8?psc=1","https://m.media-amazon.com/images/I/91enu-GRGqS._AC_SX569_.jpg","Cozy Castle",89.99,166,14938.34,156319,"CN",NA,1,4.4,147,8,9,"cozypshouse","Home & Kitchen",NA,"MFN","4.7x23.0x44.5",NA,2021-06-11
"42","Furinno Simplistic Set of 2 End Table, French Oak Grey/Grey","B00OR1KO22","https://www.amazon.com/dp/B00OR1KO22?psc=1","https://m.media-amazon.com/images/I/51FAiTCFaHL._AC_SX466_.jpg","Furinno",26.41,7889,208348.49,1209,"AMZ",20.14,8,4.3,40235,7,208,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.0x3.5x21.0","13.15",2014-10-22
"43","Best Choice Products 44in Modern Industrial Style Rectangular Wood Grain Top Coffee Table, Rustic Accent Furniture for Living Room w/Metal Frame, 1.25in Thick Butcher Block Tabletop - Gray","B0B4FG19JB","https://www.amazon.com/dp/B0B4FG19JB?psc=1","https://m.media-amazon.com/images/I/71VVB3gVdFL._AC_SX466_.jpg","Best Choice Products",79.99,1159,92708.41,37835,"US",34.33,1,4.3,794,7,21,"BestChoiceproducts","Home & Kitchen","Small Oversize","MFN","24.4x44.5x3.9","24.25",2021-08-18
"44","St.Mandyu LED Coffee Table with Storage Drawers, Modern High Glossy Table with 20 Colors LED Lights for Living Room Bedroom, Black","B0BVFF2RV1","https://www.amazon.com/dp/B0BVFF2RV1?psc=1","https://m.media-amazon.com/images/I/81Wt+x8ZVWL._AC_SX522_.jpg","St.Mandyu",109.99,129,14188.71,226698,"CN",NA,1,3.7,13,6,0,"Anqinmh","Home & Kitchen",NA,"MFN",NA,NA,2023-02-10
"45","WLIVE Coffee Table for Living Room,Wood Coffee Table with Storage,Mid-Century Modern Coffee Table with Drawer,Home,Rustic Brown.","B09X16LKSX","https://www.amazon.com/dp/B09X16LKSX?psc=1","https://m.media-amazon.com/images/I/71Sa7a1ojqL._AC_SY450_.jpg","WLIVE",69.99,385,26946.15,153964,"CN",32.83,1,4.1,171,7,26,"WLIVE","Home & Kitchen","Small Oversize","FBA","23.0x3.0x42.0","31.00",2022-04-01
"46","Frenchi Home Furnishing Finish End Table/Side Table","B01BOVNXGQ","https://www.amazon.com/dp/B01BOVNXGQ?psc=1","https://m.media-amazon.com/images/I/71IjCdDMoeL._AC_SY550_.jpg","Frenchi Furniture",61.2,74,4528.8,271055,"AMZ",29,1,4.6,466,6,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.6x10.2x21.1","15.65",NA
"47","FURINNO Simple Design End Table, 2-Pack, French Oak Grey/Black","B01D30R1RS","https://www.amazon.com/dp/B01D30R1RS?psc=1","https://m.media-amazon.com/images/I/71mLU1LgyhL._AC_SX466_.jpg","Furinno",32.01,1890,60498.9,4026,"AMZ",24.19,21,4.4,10488,8,65,"Amazon","Home & Kitchen","Small Oversize","FBA","22.4x3.7x23.0","23.10",2016-03-07
"48","Aheaplus Lift Top Coffee Table with Storage, Wood Lifting Top Central Table Metal Frame, 43.3"" Lift Tabletop Tea Table with Side Pouch, Cocktail Table Modern Pop up Adjustable Table for Living Room","B09MYG8JHK","https://www.amazon.com/dp/B09MYG8JHK?psc=1","https://m.media-amazon.com/images/I/71UKU6HYiUL._AC_SY450_.jpg","Aheaplus",139.99,561,78534.39,44025,"CN",47.95,15,4.2,681,7,26,"Aheaplus","Home & Kitchen","Small Oversize","FBA","23.0x4.0x46.5","41.45",2021-11-12
"49","WLIVE Lift Top Coffee Table with Storage,Hidden Compartment and Open Shelf,Living Room Tables with Metal Mesh Door Cabinet for Home, Office.","B0BTNP9K2Y","https://www.amazon.com/dp/B0BTNP9K2Y?psc=1","https://m.media-amazon.com/images/I/810niL79CoL._AC_SY355_.jpg","WLIVE",79.99,70,5599.3,507057,"CN",49.03,2,4.2,9,7,0,"RG HomeFurniture","Home & Kitchen","Small Oversize","MFN","24.0x5.0x45.0","65.13",2023-02-02
"50","Nidouillet 3 Tier Tempered Glass Table with Glass Shelves and Stainless Steel Legs, Oval-Shaped Coffee Table Living Room Home Furniture 35.4"" x 19.7"" x17.7 (L x W x H)- Black AB026","B081CT9Q4K","https://www.amazon.com/dp/B081CT9Q4K?psc=1","https://m.media-amazon.com/images/I/51UEBbUmPYL._AC_SY450_.jpg","Nidouillet",84.99,104,8838.96,253843,"HK",34.65,1,4.2,397,10,7,"ExtremeValues","Home & Kitchen","Small Oversize","FBA","22.8x4.0x38.8","29.21",2019-05-30
"51","HOOBRO Round Side Table, Round Accent End Table with Sturdy X-Shaped Metal Frame, 15.7"" Round Nightstand, for Living Room, Bedroom, Balcony, Office Rustic Brown BF95BZ01","B09X39XJQJ","https://www.amazon.com/dp/B09X39XJQJ?psc=1","https://m.media-amazon.com/images/I/61Yb+NUvviL._AC_SY450_.jpg","HOOBRO",33.99,460,15635.4,40545,"CN",17.77,4,4.6,107,9,43,"Hoobro","Home & Kitchen","Small Oversize","FBA","17.4x2.1x17.9","7.20",2022-08-02
"52","VASAGLE Side Table, Round End Table with 2 Shelves for Living Room, Bedroom, Small Table with Steel Frame for Smaller Spaces, Outdoor, Greige and Black","B07XXLG1JG","https://www.amazon.com/dp/B07XXLG1JG?psc=1","https://m.media-amazon.com/images/I/61U4oHKu4fL._AC_SX425_.jpg","VASAGLE",59.99,468,28075.32,101022,NA,24.61,1,4.7,1631,9,38,NA,"Home & Kitchen","Small Oversize","FBA","23.4x3.4x23.8","14.20",2019-12-29
"53","Yaheetech 2-Tier Industrial Wood Coffee Table, Cocktail Table Center Table with Open Storage Shelf for Living Room, Vintage Accent Furniture Table with Metal Frame, Easy Assembly, Gray","B099W8D8T8","https://www.amazon.com/dp/B099W8D8T8?psc=1","https://m.media-amazon.com/images/I/91TPGmGIuXL._AC_SX679_.jpg","Yaheetech",72.99,181,13211.19,123238,"US",35.79,1,4.7,681,10,8,"Yaheetech","Home & Kitchen","Small Oversize","MFN","24.8x44.5x3.9","36.82",2021-07-20
"54","JIFULI Square Coffee Table 17in Faux Marble Coffee Table, 2 Tier Square Living Room Table, Double-Layered Marble Print Accent Table-White","B0B8C4VHZD","https://www.amazon.com/dp/B0B8C4VHZD?psc=1","https://m.media-amazon.com/images/I/71ox2dXDx-L._AC_SY450_.jpg","JIFULI",79.99,1,79.99,1205417,"CN",21.67,1,3.8,6,6,0,"JIFULI 2","Home & Kitchen","Small Oversize","FBA","15.3x2.1x16.6","7.90",2022-08-02
"55","Yaheetech Rectangular Coffee Table, Tempered Glass Coffee Table with 2 Tier Storage Shelf, Modern Center Tea Table with Heavy-Duty Metal Frame for Home Living Room, Gold","B0BY3YG1FP","https://www.amazon.com/dp/B0BY3YG1FP?psc=1","https://m.media-amazon.com/images/I/71JcjFqYZDL._AC_SY450_.jpg","Yaheetech",92.99,414,38497.86,69577,"US",39.64,1,4.7,235,9,7,"Yaheetech","Home & Kitchen","Small Oversize","MFN","21.7x45.9x4.1","38.25",2023-03-11
"56","Sauder North Avenue Coffee Table, Charter Oak finish, L: 31.50"" x W: 20.00"" x H: 16.54""","B01K6PLW4Q","https://www.amazon.com/dp/B01K6PLW4Q?psc=1","https://m.media-amazon.com/images/I/71Z+TfZ9n8L._AC_SX425_.jpg","Sauder",79.99,165,13198.35,220733,"AMZ",31.81,2,4.5,5580,8,14,"Amazon","Home & Kitchen","Small Oversize","FBA","23.6x2.5x35.7","24.45",NA
"57","SOOWERY End Tables with Charging Station, Set of 2 Side Tables with USB Ports and Outlets, Nightstands with Storage Shelf for Living Room, Bedroom, Brown","B0BRFX55TJ","https://www.amazon.com/dp/B0BRFX55TJ?psc=1","https://m.media-amazon.com/images/I/718Dm+1KN3L._AC_SX466_.jpg","SOOWERY",79.99,287,22957.13,63532,"CN",25.51,1,4.6,83,8,13,"SOOWERY Direct","Home & Kitchen","Small Oversize","FBA","14.0x5.0x19.0","3.00",2022-12-31
"58","APEXCHASER Metal Side Table, 3-Tier Modern Style End Table with Storage Shelf, Side Table for Small Spaces, Fashionable Coffee Table for Living Room, Bedroom,Pink","B0BX9QJTWK","https://www.amazon.com/dp/B0BX9QJTWK?psc=1","https://m.media-amazon.com/images/I/71SVCJ15KuL._AC_SX466_.jpg","APEXCHASER",39.99,363,14516.37,49681,"CN",15.41,1,4.2,23,6,14,"TR Trading Store","Home & Kitchen","Large Standard-Size","FBA","12.6x7.3x17.2","7.94",2023-03-02
